Comune;Provincia;Tipologia;Categoria;Denominazione;Indirizzo;Località;CAP;Sigla provincia;Codice ISTAT del comune;Telefono 1;Telefono 2;FAX;Sito internet;Indirizzo posta elettronica;Anno di riferimento;Longitudine;Latitudine
CADELBOSCO DI SOPRA;REGGIO EMILIA;Agriturismo;3 margherite;AGRITURISMO AQUILA NERA;VIA PONTE FORCA, 65;VILLA SETA;42023;RE;35008;0522 914150;328 7672115;;;mester1@libero.it;2014;10.6432582;44.8129645
CADELBOSCO DI SOPRA;REGGIO EMILIA;Albergo;3 stelle;GEMMI;VIA MARCONI, 2/C;CADELBOSCO SOTTO;42023;RE;35008;0522 911226;329 7482717;0522 911349;www.hotelgemmi.it;gemmi.graziella@libero.it;2014;10.6186085;44.8036536
CADELBOSCO DI SOPRA;REGGIO EMILIA;Bed & Breakfast;;IL CASALE;VIA L. DA VINCI, 23;CADELBOSCO SOTTO;42023;RE;35008;0522 911319;349 6692676;02 700561353;www.ilcasal.it;info@ilcasal.it;2014;10.6281808;44.8275387
CAMPAGNOLA EMILIA;REGGIO EMILIA;Albergo;3 stelle;HOTEL SANTO STEFANO;VIA VETTIGANO, 26;;42012;RE;35009;0522 665812;;0522 665812;www.tenutasantostefano.eu;info@tenutasantostefano.eu;2014;10.7747685;44.8343642
CAMPAGNOLA EMILIA;REGGIO EMILIA;Albergo;3 stelle;HOTEL SPORTING;VIA G. FONTANESI, 2;;42012;RE;35009;0522 750484;392 3556690;0522 015047;www.hotelsporting.re.it;info@hotelsporting.re.it;2014;10.756741;44.843888
CAMPAGNOLA EMILIA;REGGIO EMILIA;Bed & Breakfast;;LE NOCI;VIA CANOLO, 2;COGNENTO;42012;RE;35009;330 386494;;;www.bblenoci.it;bblenoci@libero.it;2014;10.7489658;44.8155651
CAMPEGINE;REGGIO EMILIA;Albergo;4 stelle;VALDENZA HOTEL;VIA P. NENNI, 2/A;CAPRARA;42040;RE;35010;0522 676675;;0522 676718;www.valdenzahotel.it;info@valdenzahotel.it;2014;10.5084976;44.7816445
CAMPEGINE;REGGIO EMILIA;Bed & Breakfast;;LA MADONNINA;VIA CASETTO, 2;;42040;RE;35010;0522 677439;347 6753280;;;;2014;10.5244909;44.7742406
CARPINETI;REGGIO EMILIA;Agriturismo;3 margherite;IL CASTELLO;VIA CASTELLO, 4;LOC.CASTELLO;42033;RE;35011;0522 813280;348 3129814;;;s.carubbi@fashiontiles.it;2014;10.48591;44.48271
CARPINETI;REGGIO EMILIA;Agriturismo;3 margherite;LE SCUDERIE;VIA SAN DONNINO, 77;REGIGNO;42033;RE;35011;0522 618397;346 4231909;;www.agriturismolescuderie.it;info@agriturismolescuderie.it;2014;10.5050036;44.4538733
CARPINETI;REGGIO EMILIA;Agriturismo;5 margherite;IL CASANTE;VIA LA COSTA, 83;SAN DONNINO;42033;RE;35011;0522 816953;339 3696321;0522 816953;;casante@hotmail.it;2014;10.5026482;44.4668994
CARPINETI;REGGIO EMILIA;Albergo;2 stelle;HOTEL LA RUOTA;VIA SAN PROSPERO, 5;;42033;RE;35011;0522 618366;;;www.hotellaruota.it;info@hotellaruota.it;2014;10.5205156;44.4597581
CARPINETI;REGGIO EMILIA;Albergo;3 stelle;DA DOMENICO;VIA COLOMBAIA DI SECCHIA, 75;COLOMBAIA DI SECCHIA;42033;RE;35011;0522 816482;;0522 618378;;ristorantevezzosi@alice.it;2014;10.574063;44.4445576
CARPINETI;REGGIO EMILIA;Albergo;3 stelle;MAROLA;VIA BISMANTOVA, 2;MAROLA;42033;RE;35011;0522 813110;;0522 719635;www.albergomarolaaltervista.org;albergomarola2003@libero.it;2014;10.5521142;44.4554307
CARPINETI;REGGIO EMILIA;Albergo;3 stelle;RESIDENCE HOTEL MATILDE;PIAZZA DEL TRICOLORE, 2;;42033;RE;35011;0522 718094;334 8238432;0522 816241;www.residencehotelmatilde.it;info@residencehotelmatilde.it;2014;10.52167;44.45714
CARPINETI;REGGIO EMILIA;Bed & Breakfast;;ANTICHI SAPORI;VIA POIAGO, 88;POIAGO;42033;RE;35011;0522 511599;348 9134808;;www.antichisaporibb.com;info@antichisaporibb.com;2014;10.5364675;44.4612191
CARPINETI;REGGIO EMILIA;Bed & Breakfast;;B&B CASTAGNEDA;VIA ONFIANO, 60;ONFIANO;42033;RE;35011;0522 618212;349 4301543;;http://castagneda.blogspot.com;castagneda@libero.it;2014;10.5508406;44.4842187
CARPINETI;REGGIO EMILIA;Bed & Breakfast;;SOUND&BREAKFAST;VIA SANTA CATERINA, 10;;42033;RE;35011;0522 718093;347 0164901;;www.soundbreakfast.it;info@soundbreakfast.it;2014;10.54361;44.443047
CARPINETI;REGGIO EMILIA;Bed & Breakfast;;TENUTA FRASCANERA;VIA BEBBIO, 5;BEBBIO;42033;RE;35011;334 3484153;;;www.tenutafrascanera.altervista.org;ferni1955@libero.it;2014;10.5918574;44.4297362
CARPINETI;REGGIO EMILIA;Bed & Breakfast;;VALFERRARA;VIA VALFERRARA, 14;VALFERRARA;42033;RE;35011;340 1561417;;;www.bb-valferrara.it;info@bb-valferrara.it;2014;10.513057;44.483237
CARPINETI;REGGIO EMILIA;Case e appartamenti per vacanze;;CASA PIGNEDOLO;VIA PIGNEDOLO, 13;LOC. PIGNEDOLO;42033;RE;35011;347 4189987;;;;info@antoniettacasini.com;2014;10.521855;44.453236
CARPINETI;REGGIO EMILIA;Ostello;;OSTELLO PIEVE DI SAN VITALE;LOC. SAN VITALE;;42033;RE;35011;339 2943736;;;www.ideanatura.net;info@ideanatura.net;2014;10.546639;44.448212
CASALGRANDE;REGGIO EMILIA;Affittacamere;;ANTICA TRATTORIA CORRADINI;STRADA STATALE 467, 79;;42013;RE;35012;0522 846122;;;;corradinichristian@libero.it;2014;10.7632236;44.5540994
CASALGRANDE;REGGIO EMILIA;Affittacamere;;LA RISERVA ROOM & BREAKFAST;VIA COLATORE, 36;LOC. DINAZZANO;42013;RE;35012;0522 999231;348 7120104;;www.lariserva.org;info@lariserva.org;2014;10.7281359;44.564445
CASALGRANDE;REGGIO EMILIA;Albergo;3 stelle;HOTEL VILLALUNGA;PIAZZA RESISTENZA, 8;VILLALUNGA DI CASALGRANDE;42013;RE;35012;0522 846171;338 3822132;0522 849679;www.hotelvillalunga.it;info@hotelvillalunga.it;2014;10.7655661;44.5634031
CASALGRANDE;REGGIO EMILIA;Albergo;4 stelle;CASALGRANDE HOTEL;VIA 25 APRILE, 27;;42013;RE;35012;0522 849534;;0522 770722;www.casalgrandehotel.com;info@casalgrandehotel.com;2014;10.776697;44.607546
CASALGRANDE;REGGIO EMILIA;Bed & Breakfast;;BORGO DEL CASTELLO;VIA CASTELLO, 6;CASALGRANDE ALTO;42013;RE;35012;0522 849209;338 4835958;0522 849209;;borgodelcastello@gmail.com;2014;10.7673434;44.6017167
CASALGRANDE;REGGIO EMILIA;Bed & Breakfast;;LA SFINGE;VIA GARIBALDI, 12/F;;42013;RE;35012;347 4748056;;;www.bandblasfinge.it;info@bandblasfinge.it;2014;10.7384676;44.5860371
CASALGRANDE;REGGIO EMILIA;Bed & Breakfast;;OASI VERDE;VIA CASTELLO DI S.ANTONINO, 2;LOC. S. ANTONINO;42013;RE;35012;0536 823013;339 1335188;0536 992126;;bboasiverde@libero.it;2014;10.7425139;44.5597511
CASINA;REGGIO EMILIA;Agriturismo;2 margherite;IL CASTETTO;LOCALITA' CASTETTO, 1;PAULLO BERGOGNO;42034;RE;35013;0522 609539;347 4747499;;www.castetto.it;info@castetto.it;2014;10.4757079;44.5584477
CASINA;REGGIO EMILIA;Agriturismo;3 margherite;LATTERIA SORDIGLIO;VIA PROVINCIALE, 26;LOC. SORDIGLIO;42034;RE;35013;0522 600815;335 6468461;0522 600815;www.agriturismosordiglio.it;info@agriturismosordiglio.it;2014;10.4992094;44.525648
CASINA;REGGIO EMILIA;Agriturismo;3 margherite;RISERVA DEL RE;VIA LE BRAGLIE, 1;BRAGLIE;42034;RE;35013;0522 609854;340 5040765;0522 609854;;ivannagibbenini@alice.it;2014;10.49185;44.54129
CASINA;REGGIO EMILIA;Agriturismo;4 margherite;AGRITURISMO CASALIA;VIA CASALIA, 1;CASALIA;42034;RE;35013;0522 600449;;;www.terredicasalia.com;info@terredicasalia.it;2014;10.522156;44.582643
CASINA;REGGIO EMILIA;Agriturismo;4 margherite;MADONNA DELLA CORTE;VIA LE FOLE, 3;IL CROCICCHIO;42034;RE;35013;0522 605179;334 2947423;;;lefole@alice.it;2014;10.498945;44.547045
CASINA;REGGIO EMILIA;Agriturismo;5 margherite;MULINO IN PIETRA;VIA MULINO DI LEGUIGNO, 1;CORTOGNO;42034;RE;35013;0522 607503;339 8987592;;;pinchio@alice.it;2014;10.4680286;44.5312934
CASINA;REGGIO EMILIA;Albergo;1 stella;CENTRALE;VIA DEL MUNICIPIO, 1;;42034;RE;35013;0522 604051;338 2633770;0522 604051;;ristorante.centrale@alice.it;2014;10.4992094;44.525648
CASINA;REGGIO EMILIA;Albergo;3 stelle;SARA;VIA FOINA, 8;;42034;RE;35013;0522 609142;;0522 609722;;gregorialice85@libero.it;2014;10.4975862;44.5119681
CASINA;REGGIO EMILIA;Appartamenti ammobiliati;;CASA LIUBA;VIA PIAN DEL LAGO, 5;MIGLIARA;42034;RE;35013;0522 603178;349 3568392;;wwwcasaliuba.blogspot.com;liumafa@libero.it;2014;10.4822071;44.5105066
CASINA;REGGIO EMILIA;Bed & Breakfast;;IL BORGO DEL FOLLETTO;VIA CROCICCHIO, 9/1;PAULLO;42034;RE;35013;0522 600504;348 7631890;;www.borgodelfolletto.it;info@borgodelfolletto.it;2014;10.4937532;44.5431792
CASINA;REGGIO EMILIA;Bed & Breakfast;;LA COSTA;VIA CORTOGNO CENTRO, 21;CORTOGNO;42034;RE;35013;0522 607421;328 6431927;;www.facebook.com/bedandbreakfast.lacosta;bedandbreakfast.lacosta@gmail.com;2014;10.47402;44.53416
CASINA;REGGIO EMILIA;Bed & Breakfast;;LA MADE';VIA MADE', 9;LEGUIGNO;42034;RE;35013;328 4536558;389 9693006;;;ilacre@tiscali.it;2014;10.4638549;44.5187648
CASINA;REGGIO EMILIA;Bed & Breakfast;;L'UVA FRAGOLINA DEL FAGGETO;VIA FAGGETO, 15;LEGUIGNO;42034;RE;35013;0522 607343;347 3053898;;www.bebluvafragolina.com;lucianabertolini@libero.it;2014;10.460883;44.5171614
CASTELLARANO;REGGIO EMILIA;Affittacamere;;IL GIGLIO;VIA STRADONE SECCHIA, 13;ROTEGLIA;42014;RE;35014;0536 851663;338 8667284;0536 851663;www.roomgiglio.com;info@roomgiglio.com;2014;10.6819606;44.4824415
CASTELLARANO;REGGIO EMILIA;Agriturismo;1 margherita;IL VECCHIO BORGO;VIA MONTEBABBIO, 22;MONTEBABBIO;42014;RE;35014;333 3883839;;;www.agriturismoveccioborgo.it;mario_notari@libero.it;2014;10.6970877;44.5490659
CASTELLARANO;REGGIO EMILIA;Agriturismo;4 margherite;SAN VALENTINO;VIA RONTANO, 14;SAN VALENTINO;42010;RE;35014;0536 854212;335 5757481;;www.agriturismosanvalentino.it;info@agriturismosanvalentino.it;2014;10.7010806;44.5248125
CASTELLARANO;REGGIO EMILIA;Albergo;2 stelle;SUPER 2000;VIA RADICI IN MONTE, 23;ROTEGLIA;42010;RE;35014;0536 851603;;0536 851603;;;2014;10.684204;44.51952
CASTELLARANO;REGGIO EMILIA;Albergo;3 stelle;HOTEL CASTELLO;VIA RADICI NORD, 27;;42010;RE;35014;0536 825226;;0536 828455;;castello-hotel@libero.it;2014;10.7491099;44.5312353
CASTELLARANO;REGGIO EMILIA;Albergo;3 stelle;L'ARTE DI VIVERE;VIA TELAROLO, 12;SAN VALENTINO;42014;RE;35014;0536 854225;335 6212937;0536 854225;;ristorantelartedivivere@gmail.com;2014;10.6913852;44.5265904
CASTELNOVO DI SOTTO;REGGIO EMILIA;Albergo;3 stelle sup.;HOTEL POLI;VIA G. PUCCINI, 1;;42024;RE;35015;0522 683168;;0522 683774;www.hotelpoli.it;info@hotelpoli.it;2014;10.566551;44.812971
CASTELNOVO NE'MONTI;REGGIO EMILIA;Agriturismo;3 margherite;IL GINEPRO;VIA GINEPRETO, 7;GINEPRETO;42035;RE;35016;0522 611088;348 4029253;0522 612257;www.ilginepro.coop;info@ilginepro.coop;2014;10.414045;44.4055038
CASTELNOVO NE'MONTI;REGGIO EMILIA;Agriturismo;4 margherite;CAMPO DEL PILLO;VIA CASOLARA, 3;CAMPO DEL PILLO;42035;RE;35016;0522 611482;338 1751083;0522 810953;www.campodelpillo.it;info@campodelpillo.it;2014;10.4331081;44.4517281
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;1 stella;LONDON CAFE';VIA S. ALLENDE, 17;;42035;RE;35016;0522 611664;;;;;2014;10.3944833;44.435037
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;AQUILA NERA;VIA F.LLI KENNEDY, 32;FELINA;42035;RE;35016;0522 619353;340 7834044;0522 619353;www.aquilanerafelina.com;info@aquilanerafelina.com;2014;10.4559421;44.4508901
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;BISMANTOVA;VIA ROMA, 73;;42035;RE;35016;0522 812218;;;www.albergobismantova.com;info@albergobismantova.com;2014;10.4009987;44.434539
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;FORESTERIA SAN BENEDETTO;VIA BISMANTOVA, 36;LOC. PIETRA DI BISMANTOVA;42035;RE;35016;0522 611752;320 8595290;0522 611752;www.foresteriasanbenedetto.it;info@foresteriasanbenedetto.it;2014;10.4149483;44.4137195
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;LOCANDA DA CINES;PIAZZALE ROVERETO, 2;;42035;RE;35016;0522 812462;339 2080105;0522 1846589;www.locandadacines.it;info@locandadacines.it;2014;10.40394;44.435808
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;MIRAMONTI;VIA E. BAGNOLI, 7;;42035;RE;35016;0522 812300;;0522 812578;www.albergo-miramonti.com;info@albergo-miramonti.com;2014;10.3961881;44.4314053
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;RESIDENCE ALBERGO TRE RE;VIA ROMA, 17;;42035;RE;35016;0522 614086;;0522 611373;www.residencetrere.it;residence@limmobiliare.re.it;2014;10.4060093;44.4351276
CASTELNOVO NE'MONTI;REGGIO EMILIA;Albergo;3 stelle;RESIDENCE LA BAITA D'ORO;VIA SPARAVALLE, 83/A;;42035;RE;35016;0522 812794;338 5980598;0522 812794;www.baitadoro.it;info@baitadoro.it;2014;10.3495047;44.4136236
CASTELNOVO NE'MONTI;REGGIO EMILIA;Bed & Breakfast;;CA' BARUCCA;VIA TEGGE, 52;FELINA;42038;RE;35016;0522 814894;349 0872517;;www.cabarucca.it;vilmanicoli@live.it;2014;10.478553;44.440046
CASTELNOVO NE'MONTI;REGGIO EMILIA;Bed & Breakfast;;DA VIVIANA;VIA SPARAVALLE, 48;MONTEDURO;42035;RE;35016;0522 810307;348 5321629;;www.bbviviana.it;info@bbviviana.it;2014;10.3597597;44.4171951
CASTELNOVO NE'MONTI;REGGIO EMILIA;Bed & Breakfast;;IL TERRAZZO;VIA VILLABERZA, 3;;42035;RE;35016;0522 814510;340 6210381;;;;2014;10.4327749;44.4753349
CASTELNOVO NE'MONTI;REGGIO EMILIA;Case e appartamenti per vacanze;;PARISOLA;VIA PARISOLA, 24;PARISOLA;42035;RE;35016;0522 324390;333 3598043;0522 324390;;bertolinipatrizia@tin.it;2014;10.3868008;44.411918
CASTELNOVO NE'MONTI;REGGIO EMILIA;Case e appartamenti per vacanze;;PICCOLO RESIDENCE DANTE;VIA ROMA, 63/A;;42035;RE;35016;0522 611373;;0522 611373;www.limmobiliare.re.it;info@limmobiliare.re.it;2014;10.4010389;44.4350348
CAVRIAGO;REGGIO EMILIA;Albergo;3 stelle;HOTEL CORTE BUSINESS;VIA B. BUOZZI, 7;;42025;RE;35017;0522 545601;;0522 545601;www.hotelcortebusiness.it;info@hotelcortebusiness.it;2014;10.552811;44.7142392
CAVRIAGO;REGGIO EMILIA;Albergo;3 stelle;HOTEL PARADISE;VIA E. ARDUINI, 6;;42025;RE;35017;0522 575308;338 4280671;0522 575308;www.hotelparadise.re.it;info@hotelparadise.re.it;2014;10.5336804;44.6941848
CAVRIAGO;REGGIO EMILIA;Bed & Breakfast;;A CASA MIA;VIA ANNA FRANK, 8;;42025;RE;35017;333 6386312;;0522 374057;www.acasamia.org;info@acasamia.org;2014;10.4828876;44.7471935
CAVRIAGO;REGGIO EMILIA;Bed & Breakfast;;ADRJ;VIA RIVASI, 93;LA CASTELLINA;42025;RE;35017;0522 887754;333 6907106;;;razzini.adriana@alice.it;2014;10.5248241;44.6965796
CAVRIAGO;REGGIO EMILIA;Bed & Breakfast;;CA' BORGHI;VIA GUARDANOVA, 35;;42025;RE;35017;0522 371996;333 1342592;;www.caborghi.com;info@caborghi.com;2014;10.5211374;44.7105256
CAVRIAGO;REGGIO EMILIA;Bed & Breakfast;;DREAMS & COFFEE;VIA G. Rossa, 56;;42025;RE;35017;349 6586349;;;http://dreamscoffee.blogspot.com;dreams.coffee@alice.it;2014;10.5234035;44.6890285
CANOSSA;REGGIO EMILIA;Affittacamere;;L'ANGOLO DI VERLANO ROOM AND BREAKFAST;VIA VERLANO, 11;LOC. RONCAGLIO;42026;RE;35018;0522 876109;338 6721355;0522 876109;www.langolodiverlano.it;langolodiverlano@libero.it;2014;10.4158932;44.5519921
CANOSSA;REGGIO EMILIA;Agriturismo;3 margherite;AZIENDA AGRICOLA CASA BOSCHI;VIA VEDRIANO CASA BOSCHI, 17;BOSCHI DI VEDRIANO;42026;RE;35018;0522 870318;366 1651429;0522 870318;www.allevamentolepri.it;casaboschi@live.it;2014;10.426018;44.514471
CANOSSA;REGGIO EMILIA;Agriturismo;3 margherite;LA COLLINA DEI CAVALLI;LOCALITA' COLONNE DI VEDRIANO, 46;VEDRIANO;42026;RE;35018;0522 814771;333 7403843;0522 814771;www.lacollinadeicavalli.com;atanatura@yahoo.it;2014;10.4158932;44.5519921
CANOSSA;REGGIO EMILIA;Agriturismo;3 margherite;LA QUERCIA COOPERATIVA AGRICOLA E SOCIALE;VIA CROGNOLO, 16;BORZANO;42026;RE;35018;0522 876160;346 7912919;0522 578201;www.coopquercia.it;agriturismo@coopquercia.it;2014;10.369203;44.5224585
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;A CASA NOSTRA;VIA SELVAPIANA, 99;SELVAPIANA;42026;RE;35018;0522 240169;348 8239319;0522 240169;www.acasanostrabeb.com;info@acasanostrabeb.com;2014;10.4159657;44.560917
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;B&B CASA CORRA;LOC. RONCOVETRO, 64;RONCOVETRO;42026;RE;35018;0522 876113;347 7636220;;www.casacorra.com;casacorra@gmail.com;2014;10.3800219;44.5173148
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;CASA DEL TIBET;VIA VOTIGNO, 15;VOTIGNO;42026;RE;35018;0522 877177;335 6066720;;www.casadeltibet.it;stedal@tin.it;2014;10.4725742;44.5651603
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;IL TEMPO RITROVATO;VIA ROSSENA, 85;ROSSENA;42026;RE;35018;0522 242064;;;www.iltempo-ritrovato.it;info@iltempo-ritrovato.it;2014;10.436818;44.577033
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;LA CORTE DEI FONTANA;VIA SELVAPIANA, 85;SELVAPIANA;42026;RE;35018;0522 878507;335 5324808;0522 878543;www.bbcortefontana.com;cortedeifontana@libero.it;2014;10.4159657;44.560917
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;LA FATTORIA DEL BORGO;VIA CEREZZOLA, 24;LOC. CEREZZOLA;42026;RE;35018;0522 878200;339 4948069;0522 878200;www.cerezzola.it;lafattoriadelborgo@libero.it;2014;10.4074667;44.5727998
CANOSSA;REGGIO EMILIA;Bed & Breakfast;;VILLA MARCONI;LOC. CASTELLO DI CANOSSA, 5;;42026;RE;35018;340 6883866;;;www.villamarconi-canossa.it;info@villamarconi-canossa.it;2014;10.4551612;44.5761084
CANOSSA;REGGIO EMILIA;Ostello;;CASTELLO DI ROSSENA;VIA ROSSENA, 27;LOC. ROSSENA;42026;RE;35018;0522 242009;;0522 248001;www.castellorossena.it;info@castellorossena.it;2014;10.4265593;44.5833932
COLLAGNA;REGGIO EMILIA;Affittacamere;;NARDINI LORIANA;VIA PROVINCIALE, 3;PASSO CERRETO;42037;RE;35019;0522 898214;;;;info@passodelcerreto.it;2014;10.2409174;44.3061009
COLLAGNA;REGGIO EMILIA;Agriturismo;4 margherite;AGO. TURISMO;VIA CASTAGNETI, 2;VALBONA;42037;RE;35019;0522 897399;;;;ago.turismo@libero.it;2014;10.2477093;44.3517411
COLLAGNA;REGGIO EMILIA;Albergo;2 stelle;ALBERGO RISTORANTE ALPINO;VIA PROVINCIALE, 1;PASSO DEL CERRETO;42037;RE;35019;0522 714012;328 7638622;0522 714012;www.albergoristorantealpino.com;albergoalpino@libero.it;2014;10.2409174;44.3061009
COLLAGNA;REGGIO EMILIA;Albergo;2 stelle;AL CEPPO;VIA PROVINCIALE, 6;CERRETO LAGHI;42037;RE;35019;0522 898101;333 5855635;0522 898225;www.albergoristorantealceppo.it;info@albergoristorantealceppo.it;2014;10.2382651;44.2996324
COLLAGNA;REGGIO EMILIA;Albergo;2 stelle;NARDINI LORIANA Albergo;VIA PROVINCIALE, 5;PASSO DEL CERRETO;42037;RE;35019;0522 898214;;0585 949666;;info@passodelcerreto.it;2014;10.2409174;44.3061009
COLLAGNA;REGGIO EMILIA;Albergo;2 stelle;SCIATORI;PIAZZALE DEL LAGO, 6;CERRETO LAGHI;42037;RE;35019;0522 898100;;0522 898100;;mauranardini@libero.it;2014;10.2433956;44.2980303
COLLAGNA;REGGIO EMILIA;Albergo;2 stelle;STELLA ALPINA;VIA PROVINCIALE, 13;CERRETO LAGHI;42037;RE;35019;0522 898109;;;;lisa.main@alice.it;2014;10.2387062;44.299073
COLLAGNA;REGGIO EMILIA;Albergo;3 stelle;DIANA;PIAZZALE DEL LAGO, 16;CERRETO LAGHI;42037;RE;35019;0522 898131;;0522 898156;www.albergoristorantediana.it;info@albergoristorantediana.it;2014;10.2448926;44.2980741
COLLAGNA;REGGIO EMILIA;Albergo;3 stelle;HOTEL CRISTALLO;VIA BELFIORE, 6;CERRETO LAGHI;42037;RE;35019;0522 714006;;0522 714006;www.hotelcristallocerreto.com;info@hotelcristallocerreto.com;2014;10.2456855;44.2963584
COLLAGNA;REGGIO EMILIA;Albergo;3 stelle;PARK HOTEL;VIA BELFIORE, 1;CERRETO LAGHI;42037;RE;35019;0522 898216;366 4923713;0522 898115;www.parkhotelcerreto.it;info@parkhotelcerreto.it;2014;10.2453704;44.297331
COLLAGNA;REGGIO EMILIA;Albergo;3 stelle;RISTORANTE BERTOCCHI ALBERGO BAR;VIA PROVINCIALE, 4;CERRETO LAGHI;42037;RE;35019;0522 898105;329 2296860;0522 898104;;albergbert@libero.it;2014;10.2378794;44.3000497
COLLAGNA;REGGIO EMILIA;Appartamenti ammobiliati;;IN BURAPIN;VIA BURAPINO, 2;;42037;RE;35019;333 3894366;;;;;2014;10.2724462;44.3477926
COLLAGNA;REGGIO EMILIA;Campeggio;3 stelle;RIO BIANCO;VIA PROVINCIALE, 2/1;CERRETO LAGHI;42037;RE;35019;0522 714014;335 7153166;0522 714014;www.campeggioriobianco.com;info@campingriobianco.it;2014;10.2376099;44.3003215
COLLAGNA;REGGIO EMILIA;Casa per ferie;;MADONNA DELLA PROTEZIONE;VIA ROMA, 59;;42037;RE;35019;0522 897204;339 4445694;;www.casavacanzecollagna.it;casavacanzecollagna@libero.it;2014;10.2750743;44.3470705
COLLAGNA;REGGIO EMILIA;Case e appartamenti per vacanze;;CHALET SKIEUR 'ALPE DI SUCCISO';VIA PROVINCIALE, 17;CERRETO LAGHI;42037;RE;35019;0187 715221;335 5383107;0522 898338;;alpedisucciso@libero.it;2014;10.2425065;44.2985707
COLLAGNA;REGGIO EMILIA;Case e appartamenti per vacanze;;IL MULINO DI CERRETO ALPI;LOCALITA' CERRETO ALPI;;42037;RE;35019;0522 897659;347 1639146;0522 891361;www.ibrigantidicerreto.com;info@ibrigantidicerreto.com;2014;10.2516207;44.3217028
CORREGGIO;REGGIO EMILIA;Affittacamere;;L'AFFITTACAMERE DI Carnevali Ulisse;VIA SAN MARTINO, 10/2;;42015;RE;35020;0522 642437;333 1084202;0522 642437;;;2014;10.7858462;44.7738857
CORREGGIO;REGGIO EMILIA;Affittacamere;;L'AFFITTACAMERE di Gandolfi Luisa;VIA DELLA REPUBBLICA, 17;;42015;RE;35020;0522 642437;333 1084202;0522 642437;;;2014;10.7736468;44.7719094
CORREGGIO;REGGIO EMILIA;Agriturismo;3 margherite;IL COLOMBO;VIA CARLETTI, 48;;42015;RE;35020;0522 732349;339 6128799;0522 732349;www.agriturismoilcolombo.com;agriturismoilcolombo@tiscali.it;2014;10.772013;44.7756144
CORREGGIO;REGGIO EMILIA;Agriturismo;3 margherite;QUERCIA ROSSA;VIA FORNACE, 5/7;PRATO;42015;RE;35020;0522 696145;333 2107013;0522 696006;;i.company@libero.it;2014;10.7674972;44.7013311
CORREGGIO;REGGIO EMILIA;Agriturismo;4 margherite;LA TANA DELLA ZUCCA;VIA LUNGA, 10;LEMIZZONE;42015;RE;35020;0522 736031;348 0012972;0522 696405;www.latanadellazucca.it;socagr.brunelli@yahoo.it;2014;10.7286766;44.7228289
CORREGGIO;REGGIO EMILIA;Albergo;3 stelle;"OSTERIA ALBERGO ""COME UNA VOLTA...""";VIA COSTITUZIONE, 75;;42015;RE;35020;0522 633063;;0522 732377;;;2014;10.824916;44.7724185
CORREGGIO;REGGIO EMILIA;Albergo;3 stelle;ROSE & CROWN;VIA FOSDONDO, 80;Fosdondo;42015;RE;35020;0522 690276;;0522 690388;www.hotel-rosecrown.com;info@hotel-rosecrown.com;2014;10.7308158;44.7751209
CORREGGIO;REGGIO EMILIA;Albergo;4 stelle;DEI MEDAGLIONI;CORSO MAZZINI, 8/10;;42015;RE;35020;0522 632233;335 8005788;0522 693258;www.albergodeimedaglioni.com;info@albergodeimedaglioni.com;2014;10.777966;44.7718628
CORREGGIO;REGGIO EMILIA;Albergo;4 stelle;HOTEL PRESIDENT;VIA DON MINZONI, 61;;42015;RE;35020;0522 633711;;0522 633777;www.hotelpresident.re.it;info@hotelpresident.re.it;2014;10.7891429;44.7651882
CORREGGIO;REGGIO EMILIA;Bed & Breakfast;;CA' DORANDO B&B;VIA SAN PELLEGRINO, 16;MANDRIO;42015;RE;35020;0522 692199;328 1538517;0522 692199;www.casadorando.it;daniela.biolchini11@gmail.com;2014;10.816793;44.789487
CORREGGIO;REGGIO EMILIA;Bed & Breakfast;;LA PERLA DEL MERCANTE;VIA MERCANTI, 6;VILLA MANDRIO;42015;RE;35020;0522 699373;340 7066076;0522 699373;;laperladelmercante@gmail.com;2014;10.813033;44.795088
CORREGGIO;REGGIO EMILIA;Ostello;;LA ROCCHETTA;CORSO CAVOUR, 19;;42015;RE;35020;0522 632361;333 6133488;0522 632361;;la.rocchetta@libero.it;2014;10.7786432;44.7692833
FABBRICO;REGGIO EMILIA;Albergo;3 stelle;ALBERGO SOLIANI;VIA MATTEOTTI, 10;;42042;RE;35021;0522 665915;;;www.albergosoliani.blogspot.it;solianiannalisa@gmail.com;2014;10.808955;44.8724062
